station,latitude,longitude,free_bikes,empty_slots,total_bike_cap,distanceyelp,poiname,location.address,ratingyelp,distancefoursq,namefoursq,location.addressfoursq,ratingfoursq,popularityyelp,categories
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,126.77565729442588,Get Tight Lounge,1104 W Main St,4.3,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,376.18586747429254,Main St. Dragon,1537 W Main St,4.4,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,894,Byrd House,301 W Franklin St,7.3,0.9684685469400554,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,854,The Camel,1621 W Broad St,7.2,0.9812727557793148,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,490,Home Team Grill,1630 W Main St,6.5,0.9627719805585074,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,99,CapTech,1118 W Main St,,0.9226347055031968,office
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,813.5944573178863,Cobra Cabana,901 W Marshall St,4.3,115,Sportable Richmond Adaptive Sports & Recreation,1327 Floyd Ave,,0.224674668571329,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,295,Beauvine Burger Concept,1501 W Main St,8.5,0.9884675016985176,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,170,Postbellum,1323 W Main St,7.6,0.9516227374875876,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,828,Cobra Cabana,901 W Marshall St,7.9,0.995366095848649,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,974,The Sidewalk Cafe,2101 W Main St,7.9,0.9933278748497464,bar
Sydney Park,37.54696765790552,-77.45659857991984,2,14,16,675.1138185993167,My Noodle & Bar,1600 Monument Ave,4.1,814,District 5,1911 W Main St,7.7,0.9792345347804122,bar
