name,latitude,longitude,free_bikes,empty_slots,total_bike_cap,uid,renting,returning,last_updated,has_ebikes,ebikes,payment,payment-terminal,slots,rental_uris.android,rental_uris.ios
American University East Campus,38.936298,-77.087128,0,18,18,ad6ec1ce-db22-47c1-acf3-507897d40725,1,1,1729395559,True,0,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Eastern Market Metro,38.884181,-76.995358,12,17,29,1996328198078007666,1,1,1729395579,True,0,"['key', 'creditcard']",True,32,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Washington & Independence Ave SW/HHS,38.886978,-77.013769,16,14,30,08256e11-1f3f-11e7-bf6b-3863bb334450,1,1,1729395575,True,0,"['key', 'creditcard']",True,31,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
George Mason Blvd & Armstrong St,38.841099,-77.30718,10,2,12,1874574408754907832,1,1,1729395479,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Wilson Blvd & N Troy St,38.892556,-77.082089,0,15,15,d39e9b29-0ba7-453f-9f1e-b0a856d448b7,1,1,1729395500,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
John McCormack Rd & Michigan Ave NE,38.9346,-76.9955,0,10,10,08247cac-1f3f-11e7-bf6b-3863bb334450,1,1,1729395489,True,0,"['key', 'creditcard']",True,11,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
New Hampshire & Gallatin St NW,38.951596,-77.012808,4,15,19,89263cc9-13f6-4185-b315-5164c9bb930e,1,1,1729395529,True,1,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Columbia Rd & Georgia Ave NW,38.92812111132096,-77.0237946510315,2,22,24,0825164b-1f3f-11e7-bf6b-3863bb334450,1,1,1729395574,True,2,"['key', 'creditcard']",True,27,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Langston Blvd & N Woodstock St,38.898301,-77.118009,7,11,18,082614e4-1f3f-11e7-bf6b-3863bb334450,1,1,1729395574,True,6,"['key', 'creditcard']",True,19,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Washington-Liberty High School / N Stafford St & Generals Way,38.888282,-77.111066,3,12,15,32a59636-02e5-4c53-a437-020986923dca,1,1,1729395570,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Powhatan St & Bashford Ln,38.818748,-77.047783,11,3,14,082630e2-1f3f-11e7-bf6b-3863bb334450,1,1,1729395537,True,0,"['key', 'creditcard']",True,15,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Vantage Hill Rd & Wainwright Dr,38.9667,-77.348487,2,10,12,8d68e4db-0bc9-440a-9b27-5d34ed1b93c9,1,1,1729395517,True,0,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
Beech Dr at Draper Dr Park,38.866659,-77.282077,6,6,12,1871684492868499562,1,1,1729395561,True,1,"['key', 'creditcard']",True,12,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan
