station,distance,name,location.address,rating,popularity,categories,latitude,longitude
Temporary Rd & Old Reston Ave,380,Sixty Vines,11905 Market St,,0.992701320500698,bar,38.958465,-77.357291
Temporary Rd & Old Reston Ave,298,Tara School,11730 Bowman Green Dr,,,school,38.96277,-77.353522
Temporary Rd & Old Reston Ave,493,Fairfax Collegiate School,1766 Ivy Oak Sq,,,school,38.957542,-77.348729
Georgia Ave & Emerson St NW,411,Bar Illusion,5213 Georgia Ave NW,,0.10545081605999664,bar,38.953353,-77.027249
Georgia Ave & Emerson St NW,422,Luna Restaurant,5217 Georgia Ave NW,,0.9029942230804362,bar,38.953458,-77.02726
Georgia Ave & Emerson St NW,467,John Lewis Elementary School,1335 Farragut St NW,,0.9936702268302259,school,38.951119,-77.032377
Georgia Ave & Emerson St NW,464,West Education Campus,1338 Farragut St NW,,,school,38.951173,-77.03234
Georgia Ave & Emerson St NW,474,District Of Columbia Pubc Sch,1338 Farragut St NW,,,school,38.951384,-77.032362
Carlin Springs Rd & N Thomas St,402,Mussel Bar & Grille,800 N Glebe Rd,8.2,0.9596455272349392,bar,38.880198,-77.114688
Carlin Springs Rd & N Thomas St,460,Grand Cru Wine Bar and Bistro,4401 Wilson Blvd,7.6,0.9399590104783073,bar,38.880358,-77.113694
Carlin Springs Rd & N Thomas St,428,Punch Bowl Social,4238 Wilson Blvd,7.0,0.9852206795023526,bar,38.87966,-77.11101
Carlin Springs Rd & N Thomas St,447,Hawkers Asian Street Food,4201 Wilson Blvd,6.9,0.9845856305747193,bar,38.880409,-77.110835
Carlin Springs Rd & N Thomas St,323,The Sports Page,627 N Glebe Rd,,0.7788875097422279,bar,38.878542,-77.110219
Carlin Springs Rd & N Thomas St,351,Superette,4238 Wilson Blvd,,0.933031203995035,bar,38.879514,-77.110784
Carlin Springs Rd & N Thomas St,354,Local Oyster,4238 Wilson Blvd,,0.22584649135467483,bar,38.87956,-77.110915
Carlin Springs Rd & N Thomas St,362,Whino,4238 Wilson Blvd,5.5,0.964264064890454,bar,38.87961,-77.110963
Carlin Springs Rd & N Thomas St,403,K.W. Barrett,4401 N Henderson Rd,,0.9738475305256473,school,38.872837,-77.112151
Carlin Springs Rd & N Thomas St,405,FPA Penalty Box,4201 Wilson Blvd,,0.8274110209854805,bar,38.880551,-77.111145
Hilltop Rd & Willowmere Dr ,475,Cedar's Hookah,,8.0,0.9981953022832339,bar,38.873064,-77.244132
Hilltop Rd & Willowmere Dr ,175,Elizabeth Blackwell School,2812 Old Lee Hwy,,0.8577210743865927,school,38.875342,-77.241175
Hilltop Rd & Willowmere Dr ,165,Hillwood School,2812 Old Lee Hwy,,,school,38.875452,-77.241102
Hilltop Rd & Willowmere Dr ,170,Fairfax County School District,2812 Old Lee Hwy,,,school,38.875397,-77.241138
Adams Mill & Columbia Rd NW,25,Taqueria Al Lado,1792 Columbia Rd NW,8.3,0.9742001650548446,bar,38.922667,-77.042355
Adams Mill & Columbia Rd NW,208,Lapis,1847 Columbia Rd NW,9.1,0.9785669073048787,bar,38.921365,-77.043949
Adams Mill & Columbia Rd NW,203,La Pop,1847 Columbia Rd NW,8.4,0.9009831179340902,school,38.921365,-77.043949
Adams Mill & Columbia Rd NW,97,Madam's Organ,2461 18th St NW,7.9,0.9665964248800147,bar,38.922046,-77.042123
Adams Mill & Columbia Rd NW,378,The Green Zone,2226 18th St NW,9.2,0.9826852660507824,bar,38.919464,-77.041983
Adams Mill & Columbia Rd NW,90,Bossa,2463 18th St NW,7.8,0.9438332785821308,school,38.922046,-77.042123
Adams Mill & Columbia Rd NW,171,Elfegne,2420 18th St NW,7.8,0.9552428950299262,bar,38.921237,-77.042419
Adams Mill & Columbia Rd NW,152,Club Timehri,2439 18th St NW,7.7,0.9255570601007956,bar,38.92147,-77.042021
Adams Mill & Columbia Rd NW,261,Grand Duchess,2337 18th St NW,6.9,0.9781422516365268,bar,38.920542,-77.041588
Adams Mill & Columbia Rd NW,227,Tiki On 18th,2411 18th St NW,6.8,0.9798248495677325,bar,38.920958,-77.041715
W Columbia St & N Washington St,441,South Block Co,2121 N Westmoreland St,9.1,0.9694310538925612,bar,38.886101,-77.161857
W Columbia St & N Washington St,450,Dmawef,200 Little Falls St,,,school,38.884954,-77.172057
D St & Maryland Ave NE,145,Higher Achievement Program,317 8th St NE,,0.47094313620229633,school,38.894024,-76.994623
D St & Maryland Ave NE,326,Carbery School,410 5th St NE,,0.06344195437755895,school,38.895434,-76.999823
D St & Maryland Ave NE,372,School Within School,920 F St NE,,0.9330566394513128,school,38.897591,-76.993133
D St & Maryland Ave NE,406,Stuart-Hobson Middle School,410 E St NE,,0.9892954722090909,school,38.896531,-77.000061
D St & Maryland Ave NE,406,School Within School-Peabody,425 C St NE,,0.6442346983742899,school,38.892894,-76.999901
D St & Maryland Ave NE,406,Peabody Elementary School,425 C St NE,,0.4824569134744045,school,38.892844,-76.999853
D St & Maryland Ave NE,413,Ludlow-Taylor Elementary School,659 G St NE,,0.9833663175943657,school,38.898612,-76.996734
D St & Maryland Ave NE,431,The Grotto,605 10th St NE,,0.24883219691203218,bar,38.897577,-76.992415
D St & Maryland Ave NE,462,Love Joy Lofts,440 12th St NE,,0.02745038339195718,school,38.895296,-76.990624
D St & Maryland Ave NE,548,Stuart Hobson MS Capitol Hill Cluster,410 E St NE,,0.13255666749461167,school,38.896371,-77.000087
Grandview & Blueridge Ave,374,GISELE'S Creole Cuisine,2407 Price Ave,8.1,0.9604612850082372,bar,39.040375,-77.050687
Grandview & Blueridge Ave,401,The Limerick Pub,11301 Elkin St,7.7,0.9625794304542246,bar,39.040508,-77.050193
Grandview & Blueridge Ave,341,Unplugged Restaurant & Sports Bar,11305 Georgia Ave,7.5,0.909155095316545,bar,39.040563,-77.051129
Grandview & Blueridge Ave,200,Laberinto Bar and Grill,2423 Hickerson Dr,,0.5857848905624853,bar,39.042573,-77.051167
Grandview & Blueridge Ave,297,Barnabys Restaurant and Sports Pub,2417 University Blvd W,,0.5777830077665334,bar,39.041749,-77.050744
Grandview & Blueridge Ave,308,Riverside Lounge,11272 Georgia Ave,,0.9220993174864675,bar,39.040321,-77.051696
Grandview & Blueridge Ave,343,Caliente Restaurant & Bar,2442 Ennalls Ave,,0.055542480583666745,bar,39.040234,-77.05232
Grandview & Blueridge Ave,385,Hakuna Matata Grill,2405 Price Ave,,0.899505766062603,bar,39.04038,-77.050603
Grandview & Blueridge Ave,444,Pashion Lounge And Restaurant,2310 Price Ave,,0.9218639679924688,bar,39.039922,-77.05026
Grandview & Blueridge Ave,445,Pearl Seafood Restaurant,11230 Grandview Ave,,0.4337491174393975,bar,39.039053,-77.052621
Potomac Greens Dr & Slaters Ln,230,Jim’s Pork & Grain,650 Potomac Ave,,0.7529946236989913,bar,38.823058,-77.049239
Potomac Greens Dr & Slaters Ln,341,18 Eads Lounge,1800 Richmond Hwy,,0.12588046958377802,bar,38.822994,-77.051378
Potomac Greens Dr & Slaters Ln,401,Barkhaus,529 E Howell Ave,,0.9613660618996799,bar,38.824299,-77.050671
Columbia Pike & S Orme St,50,Sheraton National Hotel Club 14,900 S Orme St,,0.7037785411194181,bar,38.866864,-77.072703
Columbia Pike & S Orme St,254,IT Lounge,29 Carpenter Rd,,0.5635481915538493,bar,38.869339,-77.071864
Olde Crafts Dr and Cartwright Pl,215,Reston Swamp,2257 Coppersmith Sq,,0.01224007061818502,bar,38.937226,-77.352581
Columbia Pike & W&OD Trail ,157,"Grobani, Privett & Smith Associates",955 S Columbus St,,0.5363854169673528,school,38.855079,-77.110467
Columbia Pike & W&OD Trail ,336,Barcroft School & Civic League,800 S Buchanan St,,,school,38.859631,-77.110268
Maine Ave & Water St SW,154,Moonraker,655 Water St SW,8.1,0.9929170639467337,bar,38.877571,-77.02247
Maine Ave & Water St SW,328,Boardwalk Bar & Arcade,715 Wharf St SW,7.5,0.9928689897201278,bar,38.878544,-77.024002
Maine Ave & Water St SW,490,12 Stories,75 District Sq SW,7.7,0.9762753691699985,bar,38.879582,-77.02533
Maine Ave & Water St SW,353,Pearl Street Warehouse,33 Pearl St SW,7.3,0.9684472826043411,bar,38.878923,-77.02383
Maine Ave & Water St SW,357,Kirwan's On The Wharf,749 Wharf St SW,7.0,0.9940628330141739,bar,38.87854,-77.024086
Maine Ave & Water St SW,293,Whiskey Charlie,975 7th St SW,6.6,0.9527350228753195,bar,38.878576,-77.023416
Maine Ave & Water St SW,116,Pendry Washington DC,655 Water St SW,,0.9710673279543616,bar,38.877064,-77.022081
Maine Ave & Water St SW,244,Appletree Early Learning Public Charter School,680 I St SW,,0.19460446930060013,school,38.878813,-77.021966
Maine Ave & Water St SW,256,7th Street Park at the Wharf,999 7th St SW,,0.9478234393904188,bar,38.877749,-77.023078
Maine Ave & Water St SW,308,Canopy Central Cafe and Bar,975 7th St SW,,0.890286602514282,bar,38.878576,-77.023416
University Dr & Democracy Ln,263,The Wine House,3950 University Dr,8.4,0.9404934687953556,bar,38.847384,-77.305246
University Dr & Democracy Ln,423,High Side,4009 Chain Bridge Rd,8.3,0.9683921948072891,bar,38.845883,-77.306557
University Dr & Democracy Ln,309,The Auld Shebeen,3971 Chain Bridge Rd,7.7,0.9706498951781971,bar,38.846802,-77.306194
University Dr & Democracy Ln,291,21 Great American Bistro,10427 North St,7.6,0.7813255926463474,bar,38.846744,-77.305345
University Dr & Democracy Ln,278,Ornery Beer Company,3950 University Dr,7.3,0.9645218513143041,bar,38.847124,-77.305176
University Dr & Democracy Ln,135,Chubby Squirrel Brewing Company,10382 Willard Way,7.0,0.9638767940654733,bar,38.848707,-77.303327
University Dr & Democracy Ln,238,Tandoori Nights Fairfax,10312 Willard Way,,0.8874375100790195,bar,38.848308,-77.301978
University Dr & Democracy Ln,305,Ruffino S Spaghetti House,10427 North St,,0.8693759071117562,bar,38.846744,-77.305345
University Dr & Democracy Ln,349,The Funktastical Fo' Thousand Karaoke Celebration,3988 University Dr,,0.1854539590388647,bar,38.84632,-77.305383
University Dr & Democracy Ln,349,The Most Crunk Karaoke Show in Town,3988 University Dr,,0.10095145944202548,bar,38.84632,-77.305383
Metro Park Dr & Walker Ln ,411,Chili's Grill & Bar,6250 Inter Parcel Rd,7.1,0.9984186997639346,bar,38.7649,-77.155279
Metro Park Dr & Walker Ln ,213,Calvary Road Christian School,6811 Beulah St,,0.9525621658759316,school,38.768741,-77.15354
Wilson Blvd & N Oak St,262,Salt,1201 Wilson Blvd,7.9,0.955431111624282,bar,38.895469,-77.071199
Wilson Blvd & N Oak St,310,Barley Mac,1600 Wilson Blvd,7.8,0.972288774066911,bar,38.89403,-77.077244
Wilson Blvd & N Oak St,325,Continental Beer Garden,1901 Fort Myer Dr,7.0,0.9525445255895852,bar,38.897383,-77.071945
Wilson Blvd & N Oak St,415,Quinn's On The Corner,1776 Wilson Blvd,6.5,0.970556822446093,bar,38.893861,-77.078406
Wilson Blvd & N Oak St,92,Key Bridge Terrace,1325 Wilson Blvd,,0.891983950581647,bar,38.895118,-77.072806
Wilson Blvd & N Oak St,184,The Boardroom,1505E N Colonial Ter,,0.49256704096065584,bar,38.89652,-77.075184
Wilson Blvd & N Oak St,426,Amuse Bar,,5.9,0.9798227636174697,bar,38.897338,-77.069876
Wilson Blvd & N Oak St,346,Petitbon's American Grill & Sports Bar,1911 Fort Myer Dr,,0.8824004849464538,bar,38.897799,-77.072072
Wilson Blvd & N Oak St,368,East West Coffee,1901 N Moore St,,0.41737147475680514,bar,38.897635,-77.071213
Wilson Blvd & N Oak St,368,The Yard,1121 19th St N,,0.9297693617758277,bar,38.897288,-77.069828
Park Rd & Holmead Pl NW,307,El Chucho Cocina Superior,3313 11th St NW,8.8,0.9712355877474821,bar,38.931069,-77.027788
Park Rd & Holmead Pl NW,300,Queens English,3410 11th St NW,8.1,0.9404039837509114,bar,38.932138,-77.02853
Park Rd & Holmead Pl NW,333,The Wonderland Ballroom,1101 Kenyon St NW,7.4,0.9799049732787424,bar,38.929844,-77.027957
Park Rd & Holmead Pl NW,312,RedRocks Columbia Heights,1036 Park Rd NW,7.2,0.9485525651606079,bar,38.931695,-77.027936
Park Rd & Holmead Pl NW,180,Zeba,3423 14th St NW,6.7,0.9593933032602338,school,38.93224,-77.032504
Park Rd & Holmead Pl NW,409,Tequila & Mezcal,3475 14th St NW,6.3,0.9814673856434335,bar,38.934415,-77.032348
Park Rd & Holmead Pl NW,106,Park Road Pours,1319 Park Rd NW,,0.10904837068433662,bar,38.931298,-77.030383
Park Rd & Holmead Pl NW,256,Tubman Elementary School,3101 13th St NW,,0.9159422147796197,school,38.929195,-77.029198
Park Rd & Holmead Pl NW,262,Champions at Harriet Tubman Elementary,3101 13th St NW,,0.09185382230163372,school,38.929296,-77.029292
Park Rd & Holmead Pl NW,290,Pitcher And Crow,3400 11th St NW,,0.6129624139671653,bar,38.932083,-77.028567
MLK & Marion Barry Ave SE,114,Allah's University of Islam,1110 U St SE,,0.2729574462970827,school,38.867211,-76.989408
MLK & Marion Barry Ave SE,121,AYT Institute,1110 U St SE,,0.6703790652767874,school,38.867106,-76.989397
MLK & Marion Barry Ave SE,302,Cedar Hill Bar and Grill,2200 Martin Luther King Jr Ave SE,,0.8981066767088385,bar,38.864768,-76.989664
MLK & Marion Barry Ave SE,389,Ketcham Elementary School,1919 15th St SE,,0.9673255506502039,school,38.866029,-76.983898
MLK & Marion Barry Ave SE,417,The Music Box,2235 Shannon Pl SE,,0.967285488794699,bar,38.864568,-76.991412
MLK & Marion Barry Ave SE,38,Rocketship Dc,1227 Good Hope Rd SE,,,school,38.867087,-76.987795
MLK & Marion Barry Ave SE,130,Howard Road Academy,2005 Martin Luther King Jr Ave SE,,,school,38.866691,-76.989271
Offutt Ln & Chevy Chase Dr,459,Villain & Saint,7141 Wisconsin Ave,7.4,0.9276408394767853,bar,38.980805,-77.0922
Offutt Ln & Chevy Chase Dr,450,World of Beer,7200 Wisconsin Ave,6.7,0.994392317798968,bar,38.981394,-77.093992
Offutt Ln & Chevy Chase Dr,374,Maki Bar,6831 Wisconsin Ave,,0.7353157018722499,bar,38.978358,-77.09051
Offutt Ln & Chevy Chase Dr,409,Oneness Family School,6701 Wisconsin Ave,,0.9693277885403747,school,38.977636,-77.090182
Offutt Ln & Chevy Chase Dr,414,WeddingWire Sky Lounge,7101 Wisconsin Ave,,0.5191401739251766,bar,38.980247,-77.091762
Reston Station Blvd & Sunset Hills Rd,429,Academy of Christian Education,1808 Michael Faraday Ct,,0.21357275987863863,school,38.950291,-77.333
Reston Station Blvd & Sunset Hills Rd,292,Owego Apalachin Central Sch,11091 Sunset Hills Rd,,,school,38.945988,-77.327763
Glade Dr & Pinecrest Rd/Cathy Hudgins Cmty Ctr,402,Dogwood Elementary School,12300 Glade Dr,,0.9965297275723694,school,38.94261530677932,-77.37092754744226
Langston Blvd & N Cleveland St,68,Cloud Lounge,2525 Langston Blvd,7.8,0.993707242444361,bar,38.895126,-77.091004
Langston Blvd & N Cleveland St,63,Jesseoke,N Cleveland St,,0.48061657477701125,school,38.895124,-77.091051
Langston Blvd & N Cleveland St,404,Bar Bryson,1902 N Vance St,,0.09675836388303553,bar,38.89607,-77.087273
Connecticut Ave & McKinley St NW,84,Macon Bistro & Larder,5520 Connecticut Ave NW,7.6,0.9351318435664666,bar,38.963691,-77.075356
Connecticut Ave & McKinley St NW,376,Blessed Sacrament School,5841 Chevy Chase Pkwy NW,,0.3165287203442115,school,38.96793,-77.075205
Rockville Metro West,295,World of Beer,196 E Montgomery Ave,7.8,0.9795056642636457,bar,39.084208,-77.15052
Rockville Metro West,461,Finnegan's Wake,100 Gibbs St,7.7,0.9874356333676622,bar,39.085388,-77.152168
Rockville Metro West,208,Junior Achievement,51 Monroe St,,0.792378990731205,school,39.083961,-77.149225
Rockville Metro West,347,St Mary's Catholic School Rockville,400 Veirs Mill Road,,0.8684860968074151,school,39.081863,-77.144055
Rockville Metro West,360,Pour Vino N' Hops,42 Maryland Ave,,0.9487126673532441,bar,39.084725,-77.150744
Rockville Metro West,420,Ambrosia Express Ta,100 Maryland Ave,,0.43820803295571575,bar,39.082133,-77.150682
Rockville Metro West,448,Thai Chef - Rockville,29 Maryland Ave,,0.9711637487126673,bar,39.086342,-77.15121
Rockville Metro West,504,Bar Louie,150 Gibbs St,5.6,0.8581874356333676,bar,39.086365,-77.152019
Rockville Metro West,474,Plaza Oaxaca,141 Gibbs St,,0.9519052523171988,bar,39.086309,-77.151799
Rockville Metro West,243,Kabuto Japanese Shushi Bar,1 Choice Hotels Cir,,,bar,39.085661,-77.14915
Fairfax Dr & N Taylor St,19,Uncle Julio's,4301 Fairfax Dr,8.1,0.9907340588286234,bar,38.88271,-77.113182
Fairfax Dr & N Taylor St,269,Bronson Bier Hall,4100 Fairfax Dr,8.2,0.9864330456369252,school,38.881954,-77.109648
Fairfax Dr & N Taylor St,304,Mussel Bar & Grille,800 N Glebe Rd,8.2,0.9596455272349392,bar,38.880198,-77.114688
Fairfax Dr & N Taylor St,178,Grand Cru Wine Bar and Bistro,4401 Wilson Blvd,7.6,0.9399590104783073,bar,38.880358,-77.113694
Fairfax Dr & N Taylor St,268,Crafthouse,901 N Glebe Rd,7.4,0.9700372369598476,bar,38.881535,-77.115334
Fairfax Dr & N Taylor St,126,First Down Sports Bar & Grill,4213 Fairfax Dr,6.8,0.9808619345899604,bar,38.882492,-77.11139
Fairfax Dr & N Taylor St,386,Punch Bowl Social,4238 Wilson Blvd,7.0,0.9852206795023526,bar,38.87966,-77.11101
Fairfax Dr & N Taylor St,306,Hawkers Asian Street Food,4201 Wilson Blvd,6.9,0.9845856305747193,bar,38.880409,-77.110835
Fairfax Dr & N Taylor St,170,Hilton Arlington Executive Lounge,950 N Stafford St,,0.8907138527263805,school,38.881674,-77.110883
Fairfax Dr & N Taylor St,182,Lounge At Dan & Brad's,950 N Stafford St,,0.5551193603325347,bar,38.881784,-77.11081
Arlington Blvd & S George Mason Dr,237,St Thomas More Cathedral School,105 N Thomas St,,0.9907051929682764,school,38.8711,-77.104347
Arlington Blvd & S George Mason Dr,476,Cleopatra Lounge,237 N Glebe Rd,,0.598533614294374,bar,38.873684,-77.104406
Arlington Blvd & S George Mason Dr,477,Ricky's Pub & Grill,237 N Glebe Rd,,0.01760817481165026,bar,38.873735,-77.104453
Arlington Blvd & S George Mason Dr,300,Office of Catholic Schools,200 N Glebe Rd,,,school,38.872082,-77.103776
Veterans Pl & Pershing Dr ,475,Quarry House Tavern,8401 Georgia Ave,9.1,0.9983661461504516,bar,38.993536,-77.026436
Veterans Pl & Pershing Dr ,436,The Urban Winery,949 Bonifant St,7.7,0.9606511130069963,bar,38.993943,-77.02576
Veterans Pl & Pershing Dr ,242,Matchbox,919 Ellsworth Dr,7.0,0.9964267367694302,bar,38.996226,-77.026585
Veterans Pl & Pershing Dr ,215,McGinty's Public House,911 Ellsworth Dr,6.7,0.9990408774296229,bar,38.996359,-77.026092
